symbol,GSM368661,GSM368662,GSM368664,GSM368665,GSM368666,GSM368667,GSM368668,GSM368670,GSM368671,GSM368673,GSM368674,GSM368675,GSM368677,GSM368678,GSM368679,GSM368680,GSM368681,GSM368682,GSM368683,GSM368685,GSM368689,GSM368690,GSM368691,GSM368692,GSM368693,GSM368694,GSM368695,GSM368696,GSM368697,GSM368698,GSM368699,GSM368700,GSM368701,GSM368703,GSM368704,GSM368705,GSM368706,GSM368707,GSM368708,GSM368709,GSM368710,GSM368711,GSM368713,GSM368714,GSM368715,GSM368716,GSM368717,GSM368719,GSM368720,GSM368721,GSM368722,GSM368723,GSM368724,GSM368725,GSM368726,GSM368727,GSM368728,GSM368729,GSM368730,GSM368731,GSM368732,GSM368734,GSM368735,GSM368736,GSM368737,GSM368738,GSM368739,GSM368740
ARC,4.740909542,3.742813948,4.113860717,4.072958961,4.37499619,4.429213404,3.337996718,3.921823047,4.773418549,4.570403472,3.533394153,4.533606131,4.185736773,3.798834,4.761063063,4.220042949,4.824848741,4.910511096,5.064982485,3.460947477,3.249815524,4.502526356,4.430662123,4.629072763,3.226464207,3.280698308,4.292730284,4.320064624,4.890975993,3.882875129,4.557000314,6.496419517,3.985211784,4.700041936,4.392141736,5.08941063,5.297815779,5.289325256,4.819822023,3.567413534,4.605454691,4.689537852,4.348947377,5.068234132,5.072836773,3.596754754,3.694324416,4.01160751,4.811680105,5.139952175,3.429778935,9.032868089,3.853528678,4.981163237,3.610998385,4.542499789,3.559843838,5.048029732,6.055023792,9.420202694,4.592725574,3.141137665,4.127480757,4.847847406,6.425032943,3.57734546,3.696978707,4.836075708
ARCN1,10.60298521,10.04019481,9.582914771,10.64821707,10.44208,11.29491454,11.14702671,10.18779204,10.70006961,10.19623639,10.69053115,10.22485065,10.8394297,9.742155819,11.19310221,10.37509173,10.26500219,10.42667498,10.79289899,10.23037916,11.70297164,10.37927769,10.56498792,10.23060687,10.59427001,10.23195018,10.15661311,10.0718856,11.51643857,10.195342,10.5268477,11.13091808,10.04670515,11.03999812,10.73264084,10.17710058,10.1100084,11.074247,10.42989027,10.68334905,11.04312735,10.84443843,10.16388601,10.02208453,10.83236101,9.695830597,9.786498088,10.43982173,10.25304183,10.19437362,10.15043749,9.782943592,10.9980778,10.00907101,10.5864477,10.44558593,10.88361679,10.14673949,10.85765921,10.91551011,9.950226462,10.93015504,10.89632621,9.998303825,10.72871025,10.5679178,10.24145741,10.57909779
AREG,6.949031363,6.364224688,4.938465552,5.885770374,5.270736685,6.801101851,7.035230443,6.883810368,3.154446751,5.091447848,6.695073655,5.587378053,7.261345984,6.892284244,6.614872288,6.784347806,6.4720062,6.41407312,7.31725362,6.766856494,6.023107961,6.506981792,6.772921362,5.874313989,5.537068596,6.477210777,6.899292874,7.923836599,7.148123038,3.286222641,8.497890736,6.87584929,7.152704675,5.767043108,6.743005608,3.211732532,8.053435097,5.823949751,5.165002828,6.337679619,7.645074983,6.282933435,6.125128218,6.80217212,7.430156603,8.982410957,6.737854897,7.247218294,7.470917083,6.48255337,5.927936952,10.76497048,6.182427538,2.252784554,5.879973164,6.277513547,6.316219181,7.963112714,7.29940016,8.194537215,5.888822018,6.356746203,5.731758389,6.948179299,4.546558347,6.09717526,5.894520787,7.587689486
AREL1,8.476730235,9.00184863,10.24232697,8.856773202,9.775519624,9.489827432,9.543239766,9.037755291,9.380215672,8.309380245,8.894061261,9.421648017,9.470288922,8.72799043,8.51043688,9.4428685,9.856409267,9.247936271,9.638853366,9.855180949,9.722475076,9.097843561,9.568091068,9.477463965,10.42574271,9.269668552,10.23326167,9.019180384,8.459877818,9.968250458,9.886674135,9.18907559,9.815586383,9.135007863,9.133149105,8.918397898,8.475598854,8.944536133,9.225823216,9.43914343,9.118208051,8.928757231,7.897453902,8.938519463,8.814180319,9.931462254,9.026826776,8.685915007,9.003365819,9.078891024,9.343502754,8.464800388,9.285930999,8.620140853,9.53205793,9.369049169,7.910671924,8.970091023,9.629312093,9.197546551,10.11768786,9.330599871,9.013226201,8.853344463,8.522103885,10.58386363,9.303837376,9.074898655
ARF3,10.79965208,11.00552303,10.31357204,11.20378348,10.99441833,11.66461163,11.26783057,10.65221272,11.06439928,10.19442506,10.91837218,11.55508162,11.11630807,11.532258,11.07132172,11.57605789,11.31405103,10.54296043,10.88117875,11.64681202,11.29948424,9.70264055,11.65600492,11.26105381,10.76432345,12.06299105,11.16024221,11.54301445,9.747808518,11.15986754,11.68305862,10.98747657,11.84917418,11.14749374,10.91733691,10.78582873,11.00463862,10.39852436,11.09419175,11.65673349,11.42377625,11.71208802,10.44078397,11.36274765,10.73361053,11.99097217,10.86829271,10.46997792,10.21984324,11.49724155,10.2648174,11.26114903,10.78265022,10.75583111,11.51727441,10.49539982,9.961311072,10.33549492,10.69740015,10.39334073,10.4980488,12.23118946,11.6205845,10.24293398,10.13178961,10.60625524,11.24082663,10.79477225
ARF4,13.06318529,12.1730002,11.75896319,12.63356251,12.25549806,11.93849308,11.89132129,12.52347085,12.47952528,12.10790038,11.68425927,11.44893962,12.346631,11.83301315,12.50425646,12.2874428,12.56291672,12.46208188,12.61822907,12.31871433,11.87763483,12.04315466,12.2551881,11.97630033,12.55163655,12.68632651,11.63322652,11.92935852,11.55094156,12.21706715,12.39417036,12.60858513,12.57802903,12.75224389,12.54729627,11.38829271,12.43013949,12.73317463,12.28195298,11.73855875,12.27162099,12.59049616,12.44585368,12.53747082,12.63707302,11.87010145,12.20782728,11.79616013,11.8818073,12.23915923,11.86028599,12.36675555,11.61319055,11.79998789,11.78161314,12.5801486,12.65097511,10.87882046,12.03128676,12.57981532,12.3529189,11.76733412,11.54895044,12.07547064,11.09002773,12.17928188,12.55790594,12.43966197
ARF5,9.762774556,9.908682859,10.18144937,10.01501953,9.498184535,9.443542607,9.807937645,10.11296635,9.834959664,9.619944372,10.28079501,9.343568427,10.76374214,9.516103416,10.11657616,10.85918516,10.05454593,10.34168897,10.70808146,10.56957319,10.4373571,10.46256926,10.94968684,9.699533918,10.10913507,10.15066032,10.03024538,10.54715019,9.869828925,9.922708976,10.43928702,10.39322119,10.20371438,10.19701376,9.561284109,9.641863641,9.939490847,9.212232935,10.23713369,9.854454609,9.52569988,9.653692911,10.27613326,10.49785536,9.451188093,10.27846768,10.24868468,9.877885667,10.2187265,9.631076599,9.939168772,9.313913676,9.811165075,10.19712835,10.51310318,9.205633838,9.792349129,8.818272374,10.42244864,9.718287369,9.916746958,9.429221908,10.50191085,9.788767612,10.29133327,9.847847442,9.913211842,10.19484753
ARF6,9.435564657,10.55388496,10.25118464,10.03795935,10.34945986,10.37890564,10.22423568,9.801140169,9.337994987,9.324734489,10.62008421,10.22690397,10.39125615,10.66298211,9.971636988,9.864058244,10.35769726,9.393831705,10.47872731,9.767903191,9.280089928,10.25187749,9.895111794,10.3034674,9.579082937,10.03249406,10.80137661,9.792134087,11.00717938,9.964064132,9.926293871,10.37295692,10.2018295,10.31678903,9.4338823,10.58464472,10.29033375,9.903821167,10.04452603,9.861294053,10.27153785,9.685995476,9.269046007,9.616754925,9.906297988,10.65099197,8.983657345,10.04279764,9.613197363,9.84070767,10.25535356,10.08561331,10.31936115,10.37846293,10.15451171,9.507452197,9.347928739,9.475867134,10.2171633,9.769766555,9.147647811,9.561660436,10.37464054,10.60727013,10.53328385,9.794686507,9.412912302,9.725739888
ARFGAP1,8.832373083,8.868481246,8.50210509,8.722057179,9.001014215,8.685575839,8.276586292,8.957339125,8.650310697,8.409580578,9.080008034,9.345998329,8.246653634,8.265084191,9.062002779,8.108866684,8.660744079,8.495929503,9.093202192,8.217890727,9.712385831,9.334986991,8.759213292,9.038159076,9.50749151,8.885915179,8.986076796,8.83933398,8.687295886,9.063986252,8.562589696,9.58743309,9.445824304,8.814907012,9.458920275,9.06987681,9.127664101,9.190173732,9.09846651,9.254279822,9.120558627,9.303971399,9.356488092,8.980860907,8.98903269,9.579857804,9.210734665,9.01163642,9.422557654,9.017121496,8.425701367,8.763687362,8.661835013,8.980713296,9.79270472,8.816139767,8.3600049,9.67749311,9.169827266,8.99413778,9.066323952,9.647312501,8.939157298,9.334565102,10.54635095,9.790518824,9.423018,9.51722956
ARFGAP2,9.034370696,10.0554351,9.282405618,9.22696665,9.124516878,10.13634756,10.12642267,9.455931725,10.01540053,10.01937368,9.800198867,9.694125261,9.57950683,9.653516141,10.18862393,10.0093068,10.09831476,10.03190507,9.423693027,9.197397717,10.15208026,9.884074159,10.34707384,10.17728152,9.573990782,9.263079602,10.56337232,10.28361019,9.817460173,9.818472073,9.616260223,10.08661054,10.23379062,9.926806203,9.766513121,9.73588009,9.531381583,9.273937399,9.982158613,10.03920033,10.17594487,10.33187914,9.586593565,10.02013315,10.23024633,10.11944424,9.182772154,10.35187643,9.000021038,10.14020691,9.810595002,9.098912419,10.14597295,9.450623782,10.50787857,9.268323617,9.286060482,10.25947683,10.58120571,9.561370608,9.451448068,9.654728801,9.75823594,9.612595577,10.636486,9.833447038,10.10120028,10.15642246
