symbol,GSM1559299,GSM1559300,GSM1559301,GSM1559302,GSM1559303,GSM1559304,GSM1559305,GSM1559306,GSM1559307,GSM1559308,GSM1559309,GSM1559311,GSM1559312,GSM1559313,GSM1559314,GSM1559315,GSM1559316,GSM1559317,GSM1559318,GSM1559320,GSM1559321,GSM1559322,GSM1559323,GSM1559324,GSM1559325,GSM1559326,GSM1559327,GSM1559328,GSM1559329,GSM1559330,GSM1559331,GSM1559332,GSM1559333,GSM1559334,GSM1559335,GSM1559336,GSM1559337,GSM1559338,GSM1559339,GSM1559341,GSM1559342,GSM1559343,GSM1559344,GSM1559345,GSM1559346,GSM1559347,GSM1559348,GSM1559349,GSM1559350,GSM1559351,GSM1559353,GSM1559354,GSM1559355,GSM1559356,GSM1559357,GSM1559358,GSM1559359,GSM1559360,GSM1559361,GSM1559362,GSM1559364,GSM1559365,GSM1559366,GSM1559367,GSM1559368,GSM1559369,GSM1559370,GSM1559371,GSM1559372,GSM1559373
AAAS,8.615430543,8.397028944,8.811203278,8.498159068,8.828106549,8.457911508,8.741521921,8.531851096,9.125555466,8.515024707,8.757307302,8.966276524,9.348600356,8.401762969,8.883577504,9.24733332,8.871668401,8.727318344,9.013864861,9.145993592,8.580174503,8.756578152,8.45598871,8.941792884,8.931628233,9.044822271,9.111323895,8.821416185,8.443181348,9.219527119,8.3297433,8.422870884,8.662982641,8.655130657,8.445698225,8.60813309,8.75737585,8.799365871,8.868243286,8.517382778,8.404061626,8.633756584,9.155717704,8.830518733,8.795143755,8.852462363,8.599899299,8.988272004,8.557510249,9.196252904,8.826169994,8.49532706,8.573944183,9.037407831,8.661973981,8.389571264,8.739819323,8.940073841,9.258747379,8.590018941,8.772329126,8.33039186,9.171446451,8.984327759,8.581988693,9.044631638,8.522131552,8.802921539,8.731036674,8.667525579
AACS,9.930614772,8.867680974,8.207039425,10.05803416,8.894834404,9.197175797,9.906087577,9.16270031,9.59847449,9.554474643,9.593732712,9.793778478,8.981896921,8.987181938,9.304641665,9.330357479,9.236997747,9.209518916,9.459940715,9.078423369,9.450510719,9.523545787,8.734263973,9.2941064,9.439817537,9.151401805,9.359980111,9.207062876,8.954783561,9.403730835,9.583628971,8.777939791,9.287461617,8.962045311,9.168260002,9.139466614,9.265006294,8.661784314,9.466073025,9.017690695,9.320244693,9.506757356,9.294647175,9.229668092,10.27943923,10.47149697,9.545766558,7.741373622,9.126544499,10.84066566,8.55513873,9.714511032,8.96286731,10.00072403,9.93918519,10.64524007,9.559536849,10.16458499,9.410591917,10.38700862,9.396266816,9.752790838,9.622057619,9.472743811,9.31317762,9.218907363,9.568962544,9.991108399,9.815873389,9.043251472
AACSP1,4.568843188,4.592256048,4.751355032,4.819338404,4.529672824,4.720850369,4.912369995,4.35243164,4.639942363,4.435901463,4.640966623,4.844036704,4.812214652,4.565419828,4.941273772,4.556222881,4.379008775,4.674399452,4.81400242,4.509487536,5.033484582,4.379459319,4.938496023,4.528419977,4.663708741,4.488178686,4.466847158,5.407118934,4.618345928,5.660371941,4.692718352,4.52519286,4.598638907,4.542377552,4.42917948,4.46448433,5.028735831,4.756980466,4.669414534,4.500638853,4.775476608,4.530846537,4.411102547,5.084518027,4.874631455,4.749711684,4.714079858,5.334185424,4.520942819,4.662399246,5.032702354,4.742891888,4.64029924,4.995248906,4.517562657,4.71550983,4.549126998,4.606767981,4.72494918,4.467466515,4.675832339,4.586295134,4.870859205,5.201697129,4.506432526,4.956700249,5.13919692,4.75072543,5.017797252,4.525525267
AADAC,7.826057657,8.189028555,8.287362084,7.648577356,6.939789571,6.938671239,7.673067011,10.45952837,7.567255262,7.254439451,8.633339552,8.599333121,6.855834494,6.556844374,7.635930891,7.338901381,7.058428685,8.128394704,8.74033153,7.634817339,8.98301545,7.261802989,6.928496585,7.318763747,7.207539086,7.217369281,7.789331299,7.336877489,8.982119691,6.810791517,6.983448382,8.536220177,9.505115256,7.885801224,7.686877185,7.522937838,7.051360261,10.13152111,8.867789668,6.881729557,7.397080149,8.890166094,8.18647134,7.194988794,7.417255659,7.040396658,7.539543677,7.494048149,7.390566677,8.104706454,9.033519009,7.333783631,10.81272947,7.95532009,7.531296607,6.824505677,9.652622241,8.660722938,7.342259612,8.660378055,8.137070643,7.268168851,9.305965358,6.865475315,7.911222202,9.808059226,7.537294576,7.562860208,7.686576124,7.764801374
AADACL2,4.030854587,4.3476413,4.064409403,4.239618476,4.033315328,4.05801639,4.382644346,3.984700027,4.359722635,4.126553816,4.133894602,4.508870353,4.041169201,4.369004798,4.162487109,4.170892259,4.181372998,4.011976935,4.305175425,4.233982039,4.047391367,4.020779039,4.127511626,4.201981415,4.147875751,4.25175395,4.110658128,4.181157612,4.042837995,3.941864283,4.497401927,4.943025677,4.244278436,4.188469931,3.78418462,3.988925414,4.167163437,4.288225268,4.348796903,4.177072528,4.096009494,4.140665189,4.305480247,3.777858176,4.018425567,4.165001837,4.176924213,4.213960603,4.16449063,4.113043741,3.998419732,4.127222872,4.39896837,4.313648935,4.199623704,4.170892259,4.512449618,4.222581732,4.262426016,4.090045942,3.948451981,4.550007985,4.198298026,4.0941074,4.257994063,4.342614849,4.414495599,4.055081351,4.235172303,4.094158461
AADACP1,6.23981537,6.425036944,5.817998434,4.631606025,5.436027932,5.389532756,6.778422786,8.682124493,6.198055019,5.628279889,7.701211175,5.860692197,5.126610709,5.539923977,5.139172318,4.750733985,5.274034341,6.279297971,5.64578372,5.91149708,7.101169483,6.389756421,5.086721895,5.34213939,5.531798886,5.12833296,5.158064886,4.97181065,5.91596508,5.147638052,4.836450783,7.000364692,6.598102892,6.580265853,7.871036127,5.281653912,7.160114215,9.134763118,6.073245257,5.257854207,5.469962338,4.997824537,6.059705671,5.414349566,5.252470837,6.140794618,5.122047787,4.978714691,5.468898645,5.294624202,6.471306955,5.462647959,7.705391911,5.51013372,5.805759892,5.46523808,6.356692452,5.175446313,5.571940041,5.729223461,6.964219569,5.113077186,5.489222936,4.52760788,5.640862989,6.142461244,5.380971132,5.292561808,4.96674023,5.46343269
AADAT,7.137088129,7.64171306,7.644833352,7.253714688,8.314586537,7.35001093,7.141385272,8.099160293,8.233797555,7.328044188,7.620906406,7.425133099,8.154078637,7.372959372,7.951016786,7.833527917,7.452623496,7.968491068,7.089305392,7.306498437,7.024963193,7.513833961,7.29375708,8.707311861,7.946692329,7.854762949,8.440939848,7.677785248,7.776609458,9.223128801,7.5908048,7.72299296,7.116836311,7.612193684,7.478044942,8.953431461,7.665420521,7.560001836,6.908106332,7.360782902,7.415113664,7.041191629,7.664672824,7.681670725,7.06104719,7.43744798,7.500097277,7.241180646,7.682896,8.190180416,7.350457876,8.055908662,7.434951769,7.334511173,7.505703059,8.390694711,7.505073616,7.493054624,7.233962155,7.331031328,7.417433054,7.195465179,7.507543895,7.063786919,7.837249986,7.84934786,7.444928123,7.796247982,7.689786701,7.470818598
AAED1,9.26278059,8.679595967,8.670795295,8.82632307,9.673029604,8.093653728,8.859641678,8.927372169,8.62845493,8.393713009,8.257338642,8.744000979,8.349980884,8.682724817,7.470951253,8.985455977,8.541907659,8.003092027,8.510998874,7.919697276,7.66450788,8.615445815,8.115547561,7.028330309,8.465015856,9.057003204,7.828475571,9.466131024,9.280968143,9.000921276,8.050833951,8.213638962,8.095832389,8.020574209,8.383970319,8.373987996,8.241697954,8.458383164,9.089940333,8.451160554,8.197834631,8.420507924,7.618268405,8.572284029,7.142477701,7.90056138,8.28160891,7.583542237,8.476181421,8.92424161,7.970223394,7.598755442,8.687577424,8.36060448,8.039052146,8.371770941,8.133061679,8.091065699,7.176291341,8.088975377,8.579135847,8.416112806,8.491461718,8.679265543,8.579812039,7.880776218,9.279296738,9.280698804,8.635335711,8.908681581
AAGAB,9.258648755,8.633267532,8.731242655,8.315852022,8.743161082,7.615317089,9.613893984,9.23120138,9.631037949,8.947654612,9.009440222,8.755152147,8.692356516,8.302257679,8.945448672,9.04692687,8.710996729,8.802657878,8.436144297,8.868607437,8.785108832,8.997427157,7.976731114,8.738686604,9.257555109,8.804317661,9.263954408,9.616395295,9.35112009,8.916298286,9.104868773,8.571418793,9.568410816,8.749804142,9.094825361,8.610990576,7.682968444,8.92994275,8.34656089,8.998200512,7.769177405,8.489123599,8.225507576,8.151514807,8.68282694,9.368104003,8.913823257,9.506404152,8.158616902,9.313582366,8.816469301,8.602970244,8.750745395,8.898808598,9.079543116,8.629990441,8.892899971,8.986691667,7.926253329,9.161064708,8.03250505,8.693792128,8.990790372,8.950470616,9.572073854,8.248635468,10.02841443,9.791550013,9.113359879,8.982845951
AAK1,11.03761399,10.69298099,9.856210682,10.13618379,10.14844573,10.57349704,9.00776665,11.01053944,9.862870041,9.242224049,10.49090159,9.258220797,10.23128029,8.59942197,11.91562825,10.26405403,10.74541051,9.483452335,8.534669981,10.64585507,11.79275076,9.80533152,9.983428253,11.03429703,10.13346273,9.216834482,9.725022058,9.785824146,10.97777343,9.454129415,10.04373342,9.556967738,9.440671851,9.758753689,9.222469351,10.68309295,9.31043845,9.426871272,10.77126057,10.30749489,10.41915716,9.529596453,10.29993996,9.908855805,9.62829144,8.99844652,9.178855426,9.019707712,9.702425072,10.03974928,9.922790736,9.455082604,10.05659885,10.17266474,9.510135898,10.23690425,9.893256985,9.529146338,9.4412709,10.42732454,10.08768389,9.840779713,10.52516549,8.084024637,8.982872882,9.784868223,9.466233373,10.29444735,10.69758029,10.11931886
