symbol,GSM642933,GSM642935,GSM642936,GSM642937,GSM642938,GSM642939,GSM642940,GSM642941,GSM642943,GSM642944,GSM642945,GSM642946,GSM642947,GSM642948,GSM642949,GSM642951,GSM642953,GSM642955,GSM642956,GSM642957,GSM642958,GSM642959,GSM642960,GSM642961,GSM642964,GSM642966,GSM642967,GSM642968,GSM642969,GSM642972,GSM642973,GSM642974,GSM642976,GSM642978,GSM642979,GSM642980,GSM642981,GSM642983,GSM642984,GSM642985,GSM642987,GSM642988,GSM642989,GSM642991,GSM642992,GSM642994,GSM642996,GSM642997,GSM642998,GSM642999,GSM643000,GSM643002,GSM643006,GSM643007,GSM643008,GSM643009,GSM643010,GSM643011,GSM643012,GSM643014,GSM643015,GSM643016,GSM643017,GSM643019,GSM643020,GSM643022,GSM643024,GSM643026,GSM643027,GSM643028,GSM643029,GSM643030,GSM643031,GSM643032,GSM643033,GSM643035,GSM643036,GSM643037,GSM643038
RGS11,2.57089,2.51847,2.53048,2.52112,2.48732,2.55362,2.56531,2.53133,2.56123,2.56887,2.52114,2.53173,2.55145,2.60237,2.64049,2.44467,2.49557,2.50375,2.64466,2.51434,2.99853,2.64063,2.63152,2.58145,2.61515,2.58442,2.46453,2.62261,2.6074,2.59677,2.59801,2.60288,2.594,2.61299,2.54142,2.5912,2.49827,2.55233,2.73077,2.58345,2.57104,2.59456,2.59741,2.58843,2.65996,2.61883,2.75349,2.56896,2.57259,2.65534,2.56443,2.45745,2.54373,2.92042,2.49548,2.62319,2.62169,2.61218,2.54405,2.8959,2.58699,2.49183,2.55577,2.6689,2.59376,2.60962,2.52336,2.62729,2.65649,2.73591,5.1266,2.61068,2.64335,2.66422,2.60837,2.53041,2.60653,2.61888,2.6243
RGS12,4.49214,5.34504,5.22472,5.49973,4.66827,4.97489,4.68359,4.67167,4.88292,4.70805,4.79587,4.67363,4.33371,4.53552,4.6285,4.4398,4.60934,4.78548,5.06053,4.32985,5.48334,4.61965,4.14459,4.66875,3.51373,2.86224,3.57301,4.5452,4.32052,4.90486,4.31936,5.05085,5.52002,4.19982,4.53143,5.79884,4.69044,4.52,4.08307,5.17333,4.60114,4.1925,4.75256,4.53204,4.19122,5.01566,4.69518,5.13821,5.45425,5.3182,4.74277,4.89122,4.70888,5.48017,4.74437,5.24507,4.85138,4.69712,4.47928,4.68942,4.74037,4.86178,5.58204,4.63206,5.63367,5.37692,4.73697,4.77184,4.58422,4.79168,4.88597,4.71058,4.74777,4.74268,5.37267,5.52,4.72936,4.17688,4.77814
RGS13,2.99876,2.86954,2.97854,2.84607,2.84258,2.93907,3.00048,2.97225,3.01492,2.99552,3.07303,2.97787,3.03337,3.04489,3.05567,3.011,2.95322,2.9004,2.98584,2.98855,3.15952,3.06221,3.05518,3.07971,3.00144,3.10465,3.021,3.03182,2.9481,3.13627,3.06362,3.06721,3.08482,3.09663,3.22901,3.14088,2.99192,3.01774,3.26545,3.09571,2.89477,2.96422,3.0702,2.96536,3.12755,3.06534,3.10638,3.00853,3.06851,3.02642,3.02679,3.15525,2.93163,3.39677,3.00606,3.30041,3.41254,3.15797,3.15307,3.10452,2.97354,3.03019,3.01598,3.08879,3.01763,3.1291,2.92851,3.11253,3.1607,3.50593,3.11937,2.94444,3.20273,3.24597,3.06437,3.08517,3.12889,3.39906,3.18885
RGS14,5.37443,5.11439,5.88172,4.28992,4.8025,4.59448,4.73414,4.87746,6.022,4.20784,4.65982,4.83989,4.35768,5.8594,4.56526,4.46371,5.2412,4.67227,4.8189,4.90689,4.80627,5.2496,4.29561,4.78014,4.74403,4.24289,6.42068,4.26867,5.24395,4.68323,4.03664,4.3104,4.74174,4.07446,4.79626,6.46257,5.30693,4.13502,4.25304,4.6906,5.62038,6.00352,4.99693,5.19097,4.53654,4.83989,5.4501,4.37893,3.54445,5.19831,3.68914,4.28468,4.59513,6.80728,5.03155,4.29091,4.47944,3.85167,5.64905,6.4495,4.66169,4.68867,4.49039,5.23305,4.05504,6.5923,5.37778,5.92759,4.02007,4.78182,4.75105,3.43303,4.16487,4.12008,5.82015,4.86566,4.83548,4.71484,4.70591
RGS16,3.02586,4.2923,3.53199,6.15376,4.75621,2.99511,3.40553,2.67666,3.65701,5.93304,3.03522,6.52391,5.84592,3.56121,8.35151,2.76891,7.78909,4.64566,2.74942,2.90021,3.05107,3.48243,4.40277,3.1148,5.32841,5.49252,3.87782,4.59274,7.03048,3.63035,2.65826,3.31763,2.46075,3.95005,8.52247,3.2919,2.72649,6.28466,2.91243,3.06383,3.28623,4.58218,6.95077,5.70641,3.93337,3.02887,7.57315,7.2696,3.02324,3.08791,2.79929,3.66,5.21672,2.33828,5.58606,6.48516,7.44135,3.20346,2.75314,3.02403,4.63648,6.99916,6.07897,2.71332,4.3076,3.04566,7.34792,4.21111,7.43086,4.18692,2.67161,2.93111,2.88027,5.15247,3.04158,4.15561,4.31622,4.99205,3.19584
RGS17,2.57971,3.10188,3.45752,3.03087,3.14506,2.52468,3.04195,6.41553,2.7956,2.95034,3.00206,4.27495,4.1228,3.02279,4.86157,2.95151,5.46324,3.94764,2.55703,4.15282,3.29535,2.99632,3.35775,2.55601,2.64161,2.75369,3.00983,2.69611,4.50694,2.95068,3.0368,2.96228,2.72309,3.03426,5.68893,3.04748,3.05522,7.50626,3.06949,2.98127,2.94405,3.05347,3.04477,5.92637,3.01892,2.62184,3.43017,2.62162,3.13035,2.99867,3.00018,3.20452,3.98489,2.65201,3.16103,3.04715,3.02776,3.18311,2.77516,2.47705,3.48659,2.94412,3.58075,2.71341,3.00618,2.60706,3.02319,2.56667,3.31159,2.624,2.98706,2.98686,3.06396,5.73136,5.79825,3.95307,2.62558,3.0097,3.01553
RGS18,3.11426,2.58416,2.71971,2.62594,2.68869,2.59215,3.33163,2.70373,3.19423,4.05212,2.6516,2.72276,2.62177,2.66272,2.69398,3.26489,4.45973,2.55505,2.47247,2.63983,2.69432,2.4897,2.62433,2.61972,2.87322,2.63143,2.54255,3.21982,3.35921,2.67909,2.68625,2.60016,2.67372,3.90232,4.25015,2.73691,3.13798,2.65362,2.64336,2.66286,4.24112,3.31345,2.58834,2.59385,2.66571,2.63929,4.25797,2.58616,2.58727,2.61539,2.62332,2.60879,2.58901,2.72821,4.72767,2.63212,2.66526,2.63647,2.63737,3.28534,4.65659,2.6445,2.87411,2.62422,2.49895,2.73908,3.79373,2.68165,2.78197,2.72962,4.93934,2.61173,2.73969,2.64165,2.64574,2.77314,4.63734,3.30902,2.50544
RGS19,7.03714,6.70625,7.08415,6.81357,6.46417,6.29878,7.29518,6.80303,6.29453,6.75305,6.54108,7.72473,7.60959,7.28517,6.94543,7.13276,6.93896,6.2372,6.49333,5.86699,6.80126,6.80737,6.25336,7.5649,7.4781,6.37027,6.91374,7.0837,7.25356,7.73543,7.53186,6.9325,6.70766,7.64562,8.2245,7.54133,6.57306,6.91056,7.43745,7.71233,7.22838,7.01923,7.24394,6.95621,6.28041,5.80256,7.98717,6.16125,5.10587,6.77992,6.96698,7.12859,7.93743,7.6505,7.50773,6.09684,7.44402,7.61919,6.68938,7.64085,7.13945,8.12033,8.18161,7.05127,7.19046,6.76843,7.8855,5.98182,8.22913,6.62491,7.85328,7.88072,7.06984,7.52475,6.41928,7.40325,6.8777,6.30068,7.10746
RGS2,6.62913,7.88305,7.84315,9.5422,7.63872,5.77782,7.5069,6.09343,7.77791,10.8891,7.04242,9.13454,8.3688,6.88669,10.6979,9.08943,10.4788,9.28603,8.12675,5.27991,7.02304,5.66656,9.14666,8.99566,8.10469,8.52517,6.68993,6.73526,9.49004,7.97246,6.17768,4.58177,5.65009,9.0784,10.2467,6.74493,7.49534,9.13068,4.68409,6.44629,7.19877,9.34314,8.77404,8.04383,9.29506,8.9221,10.0786,10.1949,11.9211,8.45266,8.51934,8.399,10.3763,4.96135,9.24459,11.7869,10.7338,7.84909,6.74044,8.47062,8.13133,6.26655,8.69142,5.8448,7.3693,6.35379,9.27851,6.46621,9.22976,7.23004,10.6735,6.33645,5.81271,9.5024,7.0536,9.19389,8.52562,9.75802,8.30125
RGS20,2.25397,2.19963,2.27374,2.20194,2.23708,2.25265,2.27798,2.28123,2.26532,2.23699,2.27807,2.2568,2.24816,2.25171,2.31618,2.22029,2.23783,2.26788,2.27148,6.85765,2.33914,2.27709,4.00842,6.10695,2.28109,2.30257,2.27967,2.30622,2.28551,2.26331,2.32602,2.27534,2.32759,2.27735,5.55946,2.35822,2.32055,2.24266,2.33975,2.29316,2.25583,2.27338,2.2714,2.25103,2.29372,2.27774,2.35908,2.24495,2.31136,2.30564,2.83687,2.40217,2.22097,2.34309,2.30259,2.27113,2.26954,2.2848,2.29983,2.30645,6.50668,2.32438,2.2643,2.31651,2.27544,3.47417,2.24403,2.29143,2.25834,2.33592,2.28024,2.25667,2.33498,2.29101,4.24089,2.58388,2.24793,2.28701,2.25898
