probe	symbol
104900	DNAAF2
104921	ATP6V1G2
104925	KIAA0513
104926	KNDC1
104932	SIGLECL1
104936	HRC
104942	BIVM
104945	THRAP3
104948	NPHS1
104955	SPAG7
104984	TMEM26
104988	COPS3
104996	MYZAP
105004	KCTD12
105010	RFC3
105011	DEPTOR
105014	KNL1
105018	TMEM187
105029	CALCRL
105030	XPO1
105040	VPS16
105053	MNAT1
105056	HMGN1
105061	COBLL1
105064	PEX12
105079	DENND1A
105080	STX6
105091	CSTL1
105093	SKIL
105095	CCDC93
105105	S100PBP
105113	DOCK5
105114	STX19
105117	TEF
105119	TK1
105120	CLK3
105130	CYP2S1
105151	TNFRSF11A
105152	WNT2
105160	CFAP65
105165	PSMD3
105173	GIMAP7
105195	ASCL1
105197	AGTR1
105208	NAA20
105226	DNPEP
105239	COPS4
105249	CCR8
105258	COL6A2
105260	SRPK1
105266	SYNJ2BP
105271	NME4
105274	TAPBPL
105288	FAM207A
105298	SF3B4
105301	BRS3
105321	ADGRD1
105334	FARSA
105346	HIST1H2BO
105348	CWF19L2
105351	EIF2AK3
105353	TMC4
105355	CDKL5
105365	STYXL1
105368	CD200
105371	ASPN
105376	SHPK
105377	CTH
105380	NETO2
105383	BRE
105390	FOSB
105391	NTHL1
105398	MDM2
105403	ASB15
105404	NAT10
105408	PDE9A
105409	LAMA1
105415	PCDHA12
105417	C14orf93
105418	IGSF3
105421	IPCEF1
105423	H2AFZ
10542768	SORCS3-AS1
105430	LTN1
105434	C15orf57
105435	ABHD12
105447	AVPR1A
105450	PIR
105455	FAM200A
105457	CLPB
105463	CAB39
10548782	KCP
105493	COL1A2
105497	RRAGA
105499	LRRN2
105507	MNAT1
105515	MEGF6
105520	SEL1L
105525	TMEM43
105530	PCBP1
105533	MDM1
105539	KRT8
105544	AFF4
105550	APTX
105554	ACMSD
105555	NTPCR
105559	TERF1
105562	TTC27
105566	IL10
105567	GYPA
105575	ZMIZ1
105582	ATP8B4
105591	CNEP1R1
105602	NDUFB4
105603	SPOCK2
105614	FBXO11
105615	SMARCAL1
105616	TNFRSF11B
105627	ERBB2
105643	MRPL40
105646	TRPM4
